1|Jopa|Patterin johtopaikka||
2|Taisteluryhmä|Puolustaa jaokseen kohdistuvat hyökkäykset||
3|Lepiryhmä|Pitää huolta lepäämisestä||
4|Tukiryhmä|Tukee jaoksen muita ryhmiä||
5|Pulla 5|Jaoksen yleisryhmä||
6|Kokkitaisteluryhmä|Taistelee sekä kokkaa||
7|Tukiryhmä|Tukee jaosta||
8|Kunnossapito|Korjaa patterin kalustoa||
9|Rekkaryhmä|Keskittyy patterin rekkoihin||
10|Klabiryhmä|Pitää patterin klabitilanteen hyvänä||
11|1 Ohjr|Toteuttaa patterin määräämät tehtävät||
12|2 Ohjr|Toteuttaa patterin määräämät tehtävät||
13|3 Ohjr|Toteuttaa patterin määräämät tehtävät||
14|4 Ohjr|Toteuttaa patterin määräämät tehtävät||
15|5 Ohjr|Toteuttaa patterin määräämät tehtävät||
16|1 Ohjr|Toteuttaa patterin määräämät tehtävät||
17|2 Ohjr|Toteuttaa patterin määräämät tehtävät||
18|3 Ohjr|Toteuttaa patterin määräämät tehtävät||
19|4 Ohjr|Toteuttaa patterin määräämät tehtävät||
20|5 Ohjr|Toteuttaa patterin määräämät tehtävät||
21|1 Ohjr|Toteuttaa patterin määräämät tehtävät||
22|2 Ohjr|Toteuttaa patterin määräämät tehtävät||
23|3 Ohjr|Toteuttaa patterin määräämät tehtävät||
24|4 Ohjr|Toteuttaa patterin määräämät tehtävät||
25|5 Ohjr|Toteuttaa patterin määräämät tehtävät||
